source_concept_code,ws_frequency
1570400218,230416
1570400219,229972
3040103171,229519
7074317,226968
1500004587,226860
13136,226857
1570400220,226857
3042500020,226507
400490,226444
1570008807,225835
1500004734,224881
2239,224375
30412000108,223945
362070,222612
74202708,222191
300110,222172
300106,222044
7164,220876
350070,220736
1410000004,220616
300109,220386
30420002,219887
3040104213,219701
9869,219628
20000,219466
24858,218898
7420000486,217984
3040111682,217359
1218,216720
304000625,216449
306270,216162
1604187001,216019
3040102674,215761
300108,215507
7420000472,215160
1500004595,214909
3041008084,214263
1570400301,213710
1570400302,213410
3040104214,213401
1570400303,213319
1570400304,213141
1570400305,213070
1570400307,213042
1570400306,212975
1570400309,212905
7075522,212606
1570400310,212513
1570400308,212380
3041008047,211832
3040101209,210512
3078,210365
3040104273,210149
152300009,209864
1570400311,209851
304160020,209650
1500004076,209137
21237,207993
3043200015,206581
30412000029,206491
10131,206099
340360,206085
23223,205767
30412000144,205140
30412000145,205052
26600,204924
21505,204880
30412000146,204686
30412000147,204323
30412000309,204303
3040104215,204296
23217,204154
30412000148,203793
1120100119,203691
30412000149,203686
1120100109,203464
304002124,203463
23236,203192
3041008005,202872
3043200010,202434
3042500040,202241
3040102707,202106
23225,201723
1500004593,201369
23232,201361
3041210127,201346
23234,201046
12146,200655
16212,200635
3040110756,200470
7081370,200115
23238,200080
23227,200052
3041210117,199777
334060,199704
21775,199689
3041210118,199661
3041210122,199522
3041210119,199506
3041210124,199420
3041210125,199404
3041210123,199345
3041210128,199332
3041210126,199323
740202012,199217
3041210129,199200
3041210130,198940
7096286,198816
1500003009,197955
30412000151,197937
1570401251,197931
1120100010,197494
3042500041,197312
3041210131,197238
1120100008,197208
23229,197130
451120,197104
23221,196921
2263,195898
74202014505,195150
3042400044,195038
350030,194840
7096285,194669
74202014506,194658
503120,194175
3040100268,194035
1120100073,193874
334010,192766
62,192556
1570000024,192430
3043200011,192236
3043200018,191738
1120100017,191623
1120100105,191285
3040105618,191209
400633,191058
1500004234,191029
12014,190940
30432068,190657
7080731,190610
7075525,190481
1500004908,189738
451130,188895
7096647,187817
400120,187216
13135,186495
1570000025,186495
30416029,186471
530550,186181
7421503099,186113
305290,185883
7095200,185720
3040103206,185419
304120000554,185417
1500004588,183925
1221,183428
16073,183150
451140,183071
348100,182934
7427300728,182698
1120100102,182604
1120100121,181605
364220,181592
3040103190,179299
330110,179234
7070178,179093
21773,178948
7420000474,178495
1500003064,178078
304190,177896
3040103239,177860
364230,177744
2500000068,177114
364240,176982
3040104072,176843
7420000081,176709
304100901,176688
304320021,176426
30416066,176279
3041008043,175987
364320,174915
303200,174784
1448,174751
304090010,173861
3040100612,173277
6872,173132
23,173050
3040101208,172507
304320024,172473
2230,172136
1410000147,171783
1570063375,171768
