session_id,project_name,created,modified,model,message_count,user_messages,assistant_messages,user_chars,user_words,assistant_chars,assistant_words,total_chars,total_words,tool_calls,agent_tool_calls,clinical_subagents,non_clinical_subagents
agent-afe0fa91ff23e1c79,subagents,2026-03-06T11:08:55.444Z,2026-03-06T11:10:52.276Z,claude-opus-4-6,29,13,16,50680,4936,26552,2958,77232,7894,12,0,0,0
agent-a142a489719545b4b,subagents,2026-03-06T11:09:10.583Z,2026-03-06T11:10:45.120Z,claude-opus-4-6,12,5,7,41238,3620,25290,3022,66528,6642,4,0,0,0
agent-a262475a66a434b79,subagents,2026-03-06T11:09:30.038Z,2026-03-06T11:11:00.848Z,claude-opus-4-6,22,9,13,53962,5634,15061,1749,69023,7383,8,0,0,0
agent-ac2faae144d749779,subagents,2026-03-06T11:09:50.767Z,2026-03-06T11:11:25.917Z,claude-opus-4-6,12,5,7,50641,5215,17582,2138,68223,7353,4,0,0,0
agent-a8166c3aed7d28231,subagents,2026-03-06T11:10:01.508Z,2026-03-06T11:11:17.655Z,claude-opus-4-6,12,5,7,35307,3178,18769,2166,54076,5344,4,0,0,0
agent-a2f944a350596f462,subagents,2026-03-06T11:10:11.472Z,2026-03-06T11:11:41.628Z,claude-opus-4-6,20,9,11,34388,3026,18575,2229,52963,5255,8,0,0,0
agent-ab741182d48e806ad,subagents,2026-03-06T11:10:19.482Z,2026-03-06T11:11:56.906Z,claude-opus-4-6,28,12,16,35057,3074,20951,2356,56008,5430,11,0,0,0
agent-a4ff9c74eb9c57205,subagents,2026-03-06T11:10:37.067Z,2026-03-06T11:12:03.260Z,claude-opus-4-6,20,9,11,41956,4125,16628,2000,58584,6125,8,0,0,0
agent-aead315389cac6bfe,subagents,2026-03-06T11:10:59.937Z,2026-03-06T11:12:49.443Z,claude-opus-4-6,15,6,9,49057,4835,21604,2664,70661,7499,5,0,0,0
agent-acompact-3710b8e6fd563712,subagents,2026-03-06T11:12:56.085Z,2026-03-06T11:14:27.972Z,claude-opus-4-6,2,1,1,5145,790,14547,2012,19692,2802,0,0,0,0
agent-acompact-eeb2b30af899c426,subagents,2026-03-06T12:00:55.596Z,2026-03-06T12:02:59.094Z,claude-opus-4-6,4,2,2,5145,790,19212,2451,24357,3241,1,0,0,0
b25b63f6-6493-46b2-a21d-89733f1837f7,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-06T12:24:25.225Z,2026-03-06T12:44:19.949Z,claude-opus-4-6,171,75,92,353104,34736,34692,4337,387796,39073,59,0,0,0
e96bdb30-d862-44eb-bc88-f38a181d6440,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-06T12:44:39.718Z,2026-03-06T13:12:38.958Z,claude-opus-4-6,242,104,131,403404,42469,121230,13854,524634,56323,81,10,10,0
agent-acompact-45f974f73d412e25,subagents,2026-03-06T12:44:39.718Z,2026-03-06T13:02:33.549Z,claude-opus-4-6,171,75,93,323325,32638,114993,13138,438318,45776,60,10,10,0
13533458-0191-4935-b228-82d7e9b07a83,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-06T12:46:12.519Z,2026-03-06T16:57:36.434Z,claude-opus-4-6,358,159,191,81604,7231,74183,7534,155787,14765,96,0,0,0
agent-a175dd409e6e45281,subagents,2026-03-06T12:47:35.149Z,2026-03-06T12:53:14.470Z,claude-opus-4-6,174,83,91,77638,6528,48178,5051,125816,11579,82,0,0,0
agent-a748f4a3b6374baff,subagents,2026-03-06T12:47:48.345Z,2026-03-06T12:52:50.576Z,claude-opus-4-6,157,74,83,73186,6290,48319,4981,121505,11271,73,0,0,0
agent-a53246a9786d6db42,subagents,2026-03-06T12:47:59.953Z,2026-03-06T12:51:44.366Z,claude-opus-4-6,106,50,56,64684,6952,38785,4390,103469,11342,49,0,0,0
agent-afe9075b17628513d,subagents,2026-03-06T12:48:08.145Z,2026-03-06T12:53:46.831Z,claude-opus-4-6,184,88,96,110668,10527,49607,5250,160275,15777,87,0,0,0
agent-ab9190e237da42481,subagents,2026-03-06T12:48:22.356Z,2026-03-06T12:55:20.898Z,claude-opus-4-6,303,144,159,181040,17692,58410,6168,239450,23860,143,0,0,0
agent-ad9aab3b1e0e9f8bf,subagents,2026-03-06T12:48:39.407Z,2026-03-06T12:56:07.064Z,claude-opus-4-6,267,125,142,188203,17969,62188,7001,250391,24970,124,0,0,0
agent-afbd4e464fc858770,subagents,2026-03-06T12:48:51.728Z,2026-03-06T12:54:04.811Z,claude-opus-4-6,131,61,70,75603,6565,56615,6296,132218,12861,60,0,0,0
agent-ac2e0d8d066a978c2,subagents,2026-03-06T12:49:05.397Z,2026-03-06T12:55:47.870Z,claude-opus-4-6,219,99,120,122450,10325,62833,7569,185283,17894,98,0,0,0
agent-a87181d01cb6bb2ef,subagents,2026-03-06T12:49:21.867Z,2026-03-06T12:54:24.309Z,claude-opus-4-6,200,95,105,79586,7342,41663,4532,121249,11874,94,0,0,0
agent-a9bd29d942b90561a,subagents,2026-03-06T12:49:35.866Z,2026-03-06T12:54:05.590Z,claude-opus-4-6,107,48,59,105516,10401,53440,6630,158956,17031,47,0,0,0
c6d52466-8779-44a7-ad1d-984f53b3b9f3,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-06T13:14:34.984Z,2026-03-06T13:30:41.185Z,claude-opus-4-6,154,68,84,115687,12490,51118,6344,166805,18834,49,10,10,0
agent-a62dad20f2a55ef84,subagents,2026-03-06T13:16:44.033Z,2026-03-06T13:19:45.408Z,claude-opus-4-6,83,39,44,66839,6141,33458,3551,100297,9692,38,0,0,0
agent-a1e187609b45d4b12,subagents,2026-03-06T13:16:54.956Z,2026-03-06T13:21:20.682Z,claude-opus-4-6,234,111,123,105209,9846,32618,3676,137827,13522,110,0,0,0
agent-a556f8275ab7d829c,subagents,2026-03-06T13:17:05.030Z,2026-03-06T13:22:20.822Z,claude-opus-4-6,225,106,119,170784,15886,36202,4128,206986,20014,105,0,0,0
agent-a89e01abc0e866520,subagents,2026-03-06T13:17:14.715Z,2026-03-06T13:26:25.626Z,claude-opus-4-6,352,170,182,163589,14627,72346,7938,235935,22565,169,0,0,0
agent-a93c57262316cd5ec,subagents,2026-03-06T13:17:24.045Z,2026-03-06T13:22:43.219Z,claude-opus-4-6,191,87,104,154028,14287,36039,4024,190067,18311,86,0,0,0
agent-a471cdb629df6b194,subagents,2026-03-06T13:17:36.782Z,2026-03-06T13:22:12.302Z,claude-opus-4-6,162,73,89,101331,10211,37130,4044,138461,14255,72,0,0,0
agent-ae3662c93516dc953,subagents,2026-03-06T13:17:46.757Z,2026-03-06T13:24:28.301Z,claude-opus-4-6,388,183,205,121862,12363,45859,5123,167721,17486,182,0,0,0
agent-ad58469bc71e73188,subagents,2026-03-06T13:17:55.795Z,2026-03-06T13:25:08.847Z,claude-opus-4-6,383,183,200,102555,9439,44813,4740,147368,14179,182,0,0,0
agent-ad60f1c5a9c6ff21b,subagents,2026-03-06T13:18:03.468Z,2026-03-06T13:22:49.484Z,claude-opus-4-6,156,70,86,151373,15384,39590,4532,190963,19916,69,0,0,0
agent-a1587c11e82e1428c,subagents,2026-03-06T13:18:11.654Z,2026-03-06T13:24:26.211Z,claude-opus-4-6,286,135,151,172212,16511,44524,5149,216736,21660,134,0,0,0
83971089-abd9-4cd3-bc9c-bf94a7910463,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-06T13:31:14.713Z,2026-03-06T13:57:07.539Z,claude-opus-4-6,124,56,67,369802,37262,52314,6600,422116,43862,38,10,10,0
agent-afd933712ccaae4d8,subagents,2026-03-06T13:33:35.436Z,2026-03-06T13:41:48.076Z,claude-opus-4-6,428,204,224,100045,9202,45733,5185,145778,14387,203,0,0,0
agent-a56c23863a1757120,subagents,2026-03-06T13:33:45.924Z,2026-03-06T13:34:41.235Z,claude-opus-4-6,37,16,21,55988,5995,4803,513,60791,6508,15,0,0,0
agent-a1de38298f926015f,subagents,2026-03-06T13:34:01.535Z,2026-03-06T13:39:49.087Z,claude-opus-4-6,208,95,113,108559,10278,43327,4915,151886,15193,94,0,0,0
agent-a39f3d298f33054ea,subagents,2026-03-06T13:34:17.120Z,2026-03-06T13:39:41.517Z,claude-opus-4-6,281,134,147,92490,8300,37865,3789,130355,12089,133,0,0,0
agent-a07b79de38a8a9fea,subagents,2026-03-06T13:34:31.730Z,2026-03-06T13:37:21.970Z,claude-opus-4-6,136,63,73,64674,6065,19325,2184,83999,8249,62,0,0,0
agent-a380acc269fed3ff9,subagents,2026-03-06T13:34:48.277Z,2026-03-06T13:41:08.672Z,claude-opus-4-6,161,75,86,138080,14727,60371,6567,198451,21294,74,0,0,0
agent-aa79c6fa36dee03d1,subagents,2026-03-06T13:35:05.739Z,2026-03-06T13:40:18.897Z,claude-opus-4-6,271,130,141,116980,10172,38394,3841,155374,14013,129,0,0,0
agent-a2fd2969b1bac2a7f,subagents,2026-03-06T13:35:26.325Z,2026-03-06T13:46:19.129Z,claude-opus-4-6,401,188,213,182114,16330,86784,9997,268898,26327,187,0,0,0
agent-a0620b9fe62efd1af,subagents,2026-03-06T13:35:45.980Z,2026-03-06T13:44:08.159Z,claude-opus-4-6,272,129,143,170131,15913,74993,8594,245124,24507,128,0,0,0
agent-a582c8613cde801bc,subagents,2026-03-06T13:36:03.395Z,2026-03-06T13:39:25.448Z,claude-opus-4-6,131,62,69,71566,6761,36099,4311,107665,11072,61,0,0,0
ed566bab-53b9-4544-a9e0-a4fceac5ac5e,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-06T13:57:29.657Z,2026-03-06T14:24:37.109Z,claude-opus-4-6,155,69,83,290035,30019,53971,6601,344006,36620,48,10,10,0
agent-a5123345716e9437b,subagents,2026-03-06T14:09:03.027Z,2026-03-06T14:16:00.251Z,claude-opus-4-6,171,79,92,129424,12752,68522,7820,197946,20572,78,0,0,0
agent-a9906fca09563302a,subagents,2026-03-06T14:09:11.170Z,2026-03-06T14:14:19.953Z,claude-opus-4-6,174,80,94,95000,8827,47956,5133,142956,13960,79,0,0,0
agent-a8a46e705ab94853d,subagents,2026-03-06T14:09:19.177Z,2026-03-06T14:13:38.837Z,claude-opus-4-6,161,73,88,125429,12394,38111,4659,163540,17053,72,0,0,0
agent-a0339b9c1e754c7c7,subagents,2026-03-06T14:09:27.765Z,2026-03-06T14:13:03.577Z,claude-opus-4-6,152,72,80,78993,7139,28884,3166,107877,10305,71,0,0,0
agent-a121f45c3d187e988,subagents,2026-03-06T14:09:41.753Z,2026-03-06T14:16:21.144Z,claude-opus-4-6,250,118,132,147652,13671,61871,6914,209523,20585,117,0,0,0
agent-a92273234f1f753ef,subagents,2026-03-06T14:09:58.803Z,2026-03-06T14:17:02.952Z,claude-opus-4-6,227,108,119,140185,13449,74714,8338,214899,21787,107,0,0,0
agent-af3bbe750e541158e,subagents,2026-03-06T14:10:14.465Z,2026-03-06T14:16:03.076Z,claude-opus-4-6,189,90,99,133389,11875,55702,5938,189091,17813,89,0,0,0
agent-aec1f6ac5191b16e9,subagents,2026-03-06T14:10:33.506Z,2026-03-06T14:17:30.022Z,claude-opus-4-6,193,91,102,147821,13752,73203,7976,221024,21728,90,0,0,0
agent-ae70186e20fd08e2e,subagents,2026-03-06T14:10:51.045Z,2026-03-06T14:17:02.196Z,claude-opus-4-6,206,96,110,96890,8463,56380,6152,153270,14615,95,0,0,0
agent-a9ada6d9dad0dd12b,subagents,2026-03-06T14:11:08.324Z,2026-03-06T14:17:09.252Z,claude-opus-4-6,150,67,83,148507,14619,56444,6753,204951,21372,66,0,0,0
dce747f2-72ed-4f43-ad49-4ac4c92b1c58,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-06T14:24:50.477Z,2026-03-06T14:46:45.739Z,claude-opus-4-6,155,69,83,382674,37370,61552,7603,444226,44973,50,10,10,0
agent-acompact-89542ceb926a72b0,subagents,2026-03-06T14:24:50.477Z,2026-03-06T14:38:44.091Z,claude-opus-4-6,131,58,72,342045,32126,68143,8526,410188,40652,42,10,10,0
agent-a2dc892540e6f8848,subagents,2026-03-06T14:27:33.333Z,2026-03-06T14:32:22.869Z,claude-opus-4-6,170,82,88,81876,7053,50348,5872,132224,12925,81,0,0,0
agent-a9d7e8b2dca352430,subagents,2026-03-06T14:27:51.720Z,2026-03-06T14:31:34.905Z,claude-opus-4-6,167,79,88,94080,8334,30039,3100,124119,11434,78,0,0,0
agent-af8f019e7cd201e62,subagents,2026-03-06T14:28:06.460Z,2026-03-06T14:33:00.669Z,claude-opus-4-6,239,112,127,101252,9160,35974,3883,137226,13043,111,0,0,0
