source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,fca_methods,omop_domain,suggested_concept_id,suggested_concept_name,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
3040100009,Pain Type,C0101.00,A,pain_general,,Observation,0,,custom_list,,,,Acute pain|Chronic pain|Surgical pain|Neuropathic pain|Deep somatic pain|Intractable pain|Phantom pain|Referred pain|Superficial somatic pain|Visceral pain|Other (Comment),AMB BASIC VITALS|AMB HYPERBARIC TREATMENT|AMB ORT ASSESSMENT: MULTIPLE READINGS|AMB PAIN ASSESSMENT: MULTIPLE READINGS|AMB WOUND OUTPATIENT ASSESSMENT|AN POST-OP VITALS|AN VITALS/NPO STATUS|CV TILT TABLE LOG|ED DEPARTURE CONDITION NAV|ED TRAUMA PAIN ASSESSMENT|ED VITALS|EHC IP ICU COMPLEX VITALS AND DRIPS|EHC IP OB ANTEPARTUM ASSESSMENT ROVER|EHC OR/GI PERIOP VITALS|ENDOSCOPY INTRAPROCEDURE VITALS|HH PALLIATIVE CARE PAIN AND SYMPTOM ASSESSMENT NAV|HSPC PAIN|IP BASIC VITALS|IP BASIC VITALS NAV|IP BH PEDS/ADOLESCENT ADMISSION|IP DIALYSIS ASSESSMENT|IP ECT THERAPY - POST|IP ECT THERAPY - PRE|IP ICU COMPLEX VITALS|IP OB ANTEPARTUM ASSESSMENT|IP OB LABOR ASSESSMENT|IP OB POSTPARTUM|IP PAIN NAV|IP PATIENT CONTROLLED ANALGESIA (PCA)|IP PCT VITALS INTAKE/OUTPUT|IP PEDS BASIC VITAL SIGNS|IP PEDS BASIC VITAL SIGNS & INTAKE/OUTPUT|IP PICU COMPLEX VITAL SIGNS|IP RT VITALS NAV|OB NAR PAIN/RASS MATERNAL|OR PACU FLOWSHEET|OR PACU PEDIATRIC FLOWSHEET|OR PERI-OP VITALS|PLASMAPHERESIS|ROVER IP PCT VITALS INTAKE/OUTPUT + SONNET|ROVER PAIN|ROVER PAIN + SONNET|T EHC IP POST FALL ASSESSMENT|T EHC OR PERIOP VITALS - ASC|T EHC TRANSITIONS NURSING INTAKE ASSESSMENT|T EHC TRANSITIONS OUTPATIENT NURSING INTAKE|T EHC TRANSITIONS PSYCHOSOCIAL|T RAD ONC NURSE TO NURSE HANDOFF|WOUND CARE PAIN ASSESSMENT NAV|WOUND CARE SCREENINGS,IPAT Functional Pain Assessment|Inpatient Radiation Assessment Details|Pain|Pain Assessment,50
304730081723,Standing Balance,C0037.00,A,balance,,Observation,0,,custom_list,,,,good|fair|poor|other (comment),EHC RHB T DRIVING PHYSICAL ASSESSMENT NAV|EHC T RHB OT DRIVING ASSESSMENT,Physical Assessment,2
1315400267,Orolingual Edema Management,C0028.00,A,edema,,Observation,0,,custom_list,,,,airway patency maintained|calming measures promoted|medication response monitored|positioned for comfort|respiratory status monitored|other (see comments),CPM S21 CPIF ADULT/OB INTERVENTION (CARE PLAN)|CPM S24 CPIF CARE PLAN INTERVENTIONS|ZZZ CPM S21 CPIF PEDIATRIC INTERVENTION (CARE PLAN),Safety Interventions,3
1180101725,Blalock Extended A WAVE Pressure,C0447.00,A,,,Measurement,0,,numeric,mmHg,,,,CV XPER HEMO,Blalock Extended Pressure Measurements,1
1570010002,Pressure Injury Stage,C0008.00,A,pressure_injury,,Observation,0,,numeric,,,,,ALL FOUNDATION LDAS|AN LDAS|ASC BASIC ASSESSMENT NAV|CARDIAC REHAB ASSESSMENT|CV LDAS|ED LINES/AIRWAYS|ED NAR ASSESS SKIN|ED WOUND CARE|EHC IP BASIC ASSESSMENT|EHC IP POST PROCEDURE|IP BASIC ASSESSMENT|IP BH HEAD TO TOE ASSESSMENT|IP BH PEDS/ADOLESCENT DAILY ASSESSMENT|IP CVICU COMPLEX ASSESSMENT|IP ICU COMPLEX ASSESSMENT|IP INFANT/NICU ASSESSMENT|IP NEURO ICU COMPLEX ASSESSMENT|IP PALLIATIVE CARE ASSESSMENT|IP PEDS/PICU ASSESSMENT|IP SCI SKIN DATA SET NAV|IP WOUND ASSESSMENT/CARE|LTC BASIC ASSESSMENT|MATERNAL EMERGENCY NARRATOR LDAS|MFM RECOVERY|OB RECOVERY|ONCBCN INFUSION ASSSMENT|OP WOUND ASSESSMENT/CARE|OR INCISIONS/WOUNDS|OR PACU FLOWSHEET|OR PACU PEDIATRIC FLOWSHEET|PT TREATMENT|PT TREATMENT NAV|PT/OT WOUND NAV|REHAB ADULT ASSESSMENT|ROVER WOUND LDA + SONNET|T EHC PT LYMPHEDEMA EVAL|T EHC PT LYMPHEDEMA EVAL EDEMA NAV|T EHC PT LYMPHEDEMA TREAT/DAILY NOTE|T EHC PT WOUND CARE|T EHC PT WOUND CARE WOUND CARE NAV,Wound,40
1020100862,Variability in Waveform for Non-Stress Test 2,C0084.00,A,fetal_variability,,Observation,0,,custom_list,,,,Absent|Minimal|Moderate|Marked,AMB OB NST NAV|IP OB DIAGNOSTICS NAV,Non-Stress Test 2,2
1180148067,Pulmonary Vein Left Lower PO2,C0447.00,A,,,Measurement,0,,numeric,%,,,,CV SENSIS HEMO,Pressures,1
3040100601,Fever,C0042.00,A,fever,,Observation,0,,custom_list,,,,Indicator not present|Fever less than 101 degrees F/38.3 degrees C|Fever greater than/equal to 101 degrees F/38.3 degrees C,IP FINNEGAN NEONATAL ABSTINENCE SCORE,Metabolic/Vasomotor/Respiratory Disturbances,1
1180147613,RPAW O2 Sat,C0447.00,A,,,Measurement,0,,numeric,%,,,,CV HEMODYNAMIC,O2 Sat Measurements,1
1570700143,Generalized Anxiety Score (Parent),C0068.00,A,anxiety,,Observation,0,,numeric,,,,,BH SCREEN FOR CHILD ANXIETY RELATED DISORDERS (PARENT),SCARED (Parent),1
1180104147,Ascending Aorta PH,C0447.00,A,,,Measurement,0,,numeric,%,,,,CV XPER HEMO,Extended PH Measurements,1
