source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,omop_domain
1041153,Component 11: Laryngeal Vestibular Closure - Height of the Swallow,C0067.00,A,swallowing,Observation
1041155,Component 13: Pharyngeal Contraction (A/P view only),C0066.00,A,contraction,Observation
1041162,Oral Impairment Total,C0447.00,A,,Measurement
1041163,Pharyngeal Impairment Total,C0447.00,A,,Measurement
10420,Are you able to take a tub bath?,C0065.00,A,bathing,Observation
10421,Are you able to get on and off toilet?,C0064.00,A,toileting,Observation
10436,"On a scale of 1-100 (where zero represents ""no pain"" and 100 represents ""severe pain"")",C0101.00,A,pain_general,Observation
10437,"On a scale of 1-100 (where zero represents ""very well"" and 100 represents ""very poor health"")",C0447.00,A,,Measurement
10505,Sum of Right side Scores,C0447.00,A,,Measurement
10506,Sum of Left side Scores,C0447.00,A,,Measurement
10512,Sum of All Scores,C0447.00,A,,Measurement
10525,ACTIVITY: Papules factor,C0447.00,A,,Measurement
10526,Total Activity Score,C0447.00,A,,Measurement
10527,Total Damage Score,C0447.00,A,,Measurement
1055,Beta2-Agonist Puff/Day,C0447.00,A,,Measurement
1057,Steroid Puff/Day,C0447.00,A,,Measurement
1064,FVC,C0447.00,A,,Measurement
1065,FEV1,C0447.00,A,,Measurement
1066,FEV1/FVC,C0447.00,A,,Measurement
10660,Total number of stands,C0447.00,A,,Measurement
10661,Chair height,C0062.00,A,height,Observation
10669,Feet Together (seconds),C0447.00,A,,Measurement
10670,Semi-Tandem (seconds),C0447.00,A,,Measurement
10671,Tandem (seconds),C0447.00,A,,Measurement
10672,Single Limb Stance (seconds),C0447.00,A,,Measurement
10677,Height of sitting height (inches),C0062.00,A,height,Observation
10679,5x Sit to Stand (seconds),C0447.00,A,,Measurement
1068,Peak Flow Personal Best (l/min),C0447.00,A,,Measurement
10685,O2 Flow Rate (L/min),C0447.00,A,,Measurement
1069,Peak Flow Personal Goal (l/min),C0447.00,A,,Measurement
10693,Number of completed laps,C0447.00,A,,Measurement
1070,Green Zone (L/min),C0447.00,A,,Measurement
10700000032,Temperature Probes In Place and Calibrated,C0060.00,A,temperature,Observation
10700000066,Delivery Temperature,C0059.00,A,,Measurement
10700000068,System Pressure,C0447.00,A,,Measurement
10700000081,Venous Temp,C0059.00,A,,Measurement
10700000082,Arterial Temp,C0059.00,A,,Measurement
10700000097,Total Reservoir Volume Processed,C0447.00,A,,Measurement
107000203,Pain management expectation discussed,C0101.00,A,pain_general,Observation
107000213,How long did the patient spend drinking the high carbohydrate beverage (e.g. Ensure)?,C0447.00,A,,Measurement
107000224,Nursing hand off discussion of PONV/pain,C0101.00,A,pain_general,Observation
107000226,"If patient in PACU >2 hrs, start on ice chips 1 oz/hr",C0078.00,A,heart_rate,Observation
10701,Seconds in Dominant Hand,C0447.00,A,,Measurement
10701000016,Respiratory (WDL),C0057.00,A,respiratory_general,Observation
10701000017,Integumentary (WDL),C0335.00,A,wdl_screening,Observation
10701000033,Scope Withdrawal Time,C0447.00,A,,Measurement
10701000054,Pulse Oximeter on Patient,C0056.00,A,pulse,Observation
10701000070,pH Measurement,C0447.00,A,,Measurement
10701000109,Consciousness,C0055.00,A,consciousness,Observation
10701000111,Modified Aldrete Score,C0447.00,A,,Measurement
10701000137,Comfort/Pain: Interventions,C0101.00,A,pain_general,Observation
10701000138,Comfort/Pain: Evaluation of Goals Met,C0101.00,A,pain_general,Observation
10701000140,Nausea and Vomiting: Interventions,C0054.00,A,nausea,Observation
10701000141,Nausea and Vomiting: Evaluation of Goals Met,C0054.00,A,nausea,Observation
10701000158,Does the patient have anxiety?,C0068.00,A,anxiety,Observation
10701000159,Anxiety: Interventions,C0068.00,A,anxiety,Observation
10701000160,Anxiety: Goal,C0068.00,A,anxiety,Observation
10701000161,Anxiety: Evaluation of Goals Met,C0068.00,A,anxiety,Observation
10701000181,Pre-op Bath Given,C0065.00,A,bathing,Observation
10701000196,Video Number,C0447.00,A,,Measurement
10701000201,Photo Number,C0447.00,A,,Measurement
10701000320,2x2 (Radiopaque) Quantity,C0447.00,A,,Measurement
10701000321,3x17 (Radiopaque) Quantity,C0447.00,A,,Measurement
10701000322,12x12 (Radiopaque) Quantity,C0447.00,A,,Measurement
10701000323,18x18 (Radiopaque) Quantity,C0447.00,A,,Measurement
10701000324,Cottonoid (Radiopaque) Quantity,C0447.00,A,,Measurement
10701000325,Vaginal Packing (Radiopaque) Quantity,C0447.00,A,,Measurement
10701000326,Towels (Radiopaque) Quantity,C0447.00,A,,Measurement
10701000328,Gauze Roll (Radiopaque) Quantity,C0447.00,A,,Measurement
10701000337,Sensory Perception: Interventions,C0053.00,A,braden,Observation
10701000338,Sensory Perception: Goal,C0053.00,A,braden,Observation
10701000339,Sensory Perception: Evaluation of Goals Met,C0053.00,A,braden,Observation
10701000341,Peripheral Tissue Perfusion: Interventions,C0052.00,A,perfusion,Observation
10701000342,Peripheral Tissue Perfusion: Goal,C0052.00,A,perfusion,Observation
10701000343,Peripheral Tissue Perfusion: Evaluation of Goals Met,C0052.00,A,perfusion,Observation
10701000366,Temperature: Interventions,C0060.00,A,temperature,Observation
10701000367,Temperature: Evaluation of Goals Met,C0060.00,A,temperature,Observation
