source_concept_code,source_description,fca_concept_id,reason,intent,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
27392,63=sorbic acid 2% in pet,C0000.00,no_clinical_attributes,,string,,,,,AMB DERM ALLERGY PATCH TESTING,Emory Allergy Patch Testing Standard Tray,1
27393,"64=ylang ylang oil (cananga odorata), 2% in pet",C0000.00,no_clinical_attributes,,string,,,,,AMB DERM ALLERGY PATCH TESTING,Emory Allergy Patch Testing Standard Tray,1
27394,65=benzisothiazolinone 0.1% pet,C0000.00,no_clinical_attributes,,string,,,,,AMB DERM ALLERGY PATCH TESTING,Emory Allergy Patch Testing Standard Tray,1
27395,66=ethyleneurea melamine-formaldehyde 5% pet--- NOT AVAILABLE CURRENTLY,C0000.00,no_clinical_attributes,,string,,,,,AMB DERM ALLERGY PATCH TESTING,Emory Allergy Patch Testing Standard Tray,1
27396,67=sorbitan sesquioleate 20% in pet,C0000.00,no_clinical_attributes,,string,,,,,AMB DERM ALLERGY PATCH TESTING,Emory Allergy Patch Testing Standard Tray,1
27855,Please select up to 3 items from the following list to indicate your top three goals for receiving treatment through the Emory Outpatient Psychiatry Clinic:,C0000.00,no_clinical_attributes,,custom_list,,,,"Functioning - Improve my ability to carry out my roles at work, home, school, or socially|Sadness - Reduce the frequency and intensity of the sadness I feel|Pleasure - Reduce the frequency and intensity of the sadness I feel|Negative thinking - Reduce and learn to cope with my guilty, pessimistic, or other negative thoughts|Mood swings - Improve my ability to regulate changes in my mood|Anxiety or Panic - Reduce the impact of anxiety or panic on my life and learn how to manage them|Fears - Learn how to overcome a specific fear or how to cope with it|Obsessions - Reduce the frequency of my obsessions and learn how to respond to them|Trauma - Come to terms with something(s) that happened in my past|Stress - Manage stressful situations better|Sleep - Improve the quality of my sleep or obtain an appropriate amount of sleep|Pain - Reduce the impact of chronic pain on my life|Focus or Thinking - Improve my ability to pay attention or think more clearly|Hallucinations - Reduce how often I hear or see things other people cannot see or hear|Anger - Reduce how often I become angry and learn how to better cope with it)|Grief - Come to terms with loss of someone I loved|Relationships - Improve my relationships with important people in my life|Connection - Learn how to better connect with other people|Assertiveness - Learn how to be more confident and set boundaries|Relaxation - Learn now to relax and take it easy|Self-acceptance - Learn how to feel more comfortable in my body or with who I am as a person|Movements - Reduce the amount of abnormal or uncontrolled movements I experience|Spiritually - Improve my ability to make use of my spirituality in managing my mental",T EHC AMB BH PSYCHIATRY TREATMENT GOALS,Psychiatry Treatment Goals,1
27857,*Relevant Drug Interactions Identified?,C0000.00,no_clinical_attributes,,custom_list,,,,Yes|No|Other (see comments)|N/A,EMORY RXSP INITIAL ASSESSMENT & SET UP FILL COORDINATION (SPECIALTY LITE)|RXSP TRANSFER IN SPECIALTY INITIAL FILL AND EDUCATION,Initial Assessment/Education,2
27876,*Relevant Drug Interactions Identified,C0000.00,no_clinical_attributes,,custom_list,,,,Yes|Yes|No|No|Other (see comments)|Other (see comments)|N/A|N/A,RXSP ONCOLOGY INITIAL,Initial Assessment,1
27877,*New drug Interactions,C0000.00,no_clinical_attributes,,custom_list,,,,Yes|No|No significant drug interactions with current regimen|Other (see comments),RXSP ONCOLOGY FOLLOW UP,Follow Up Assessment,1
27878,Device Location,C0000.00,no_clinical_attributes,,custom_list,,,,Left chest|Right chest|Other,T RAD ONC CIED COMMUNICATION,Device Check Info (Completed by Device Clinic),1
