source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,fca_methods,omop_domain,suggested_concept_id,suggested_concept_name,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
1020000501,Epigastric Pain,C0101.00,A,pain_general,,Observation,0,,custom_list,,,,Denies|Sharp|Burning|Sharp|Aching|Burning|Constant|Aching|Intermittent|Constant|Other (Comment)|Intermittent|Other (Comment),EHC IP OB ANTEPARTUM ASSESSMENT ROVER|IP OB ANTEPARTUM ASSESSMENT|OB PHYSICAL ASSESSMENT NAV,Preeclampsia Screening,3
1020000601,Reflexes,C0100.00,A,reflex,,Observation,0,,custom_list,,,,Plus 1|Plus 2|Plus 3|Plus 4|Other (Comment),EHC IP OB ANTEPARTUM ASSESSMENT ROVER|IP OB ANTEPARTUM ASSESSMENT|OB PHYSICAL ASSESSMENT NAV,Preeclampsia Screening,3
10200313,One Minute Apgar,C0447.00,A,,,Measurement,0,,numeric,,0,10,,ED MD BIRTH PROCEDURE NAV|IP OB ADULT BABY DETAILS NAV|OB MOTHER MULTIPLE NEWBORNS,Birth|Delivery Details: Baby A,3
10200314,Five Minute Apgar,C0447.00,A,,,Measurement,0,,numeric,,0,10,,ED MD BIRTH PROCEDURE NAV|IP OB ADULT BABY DETAILS NAV|OB MOTHER MULTIPLE NEWBORNS,Birth|Delivery Details: Baby A,3
10200323,One Minute Apgar,C0447.00,A,,,Measurement,0,,numeric,,0,10,,OB MOTHER MULTIPLE NEWBORNS,Delivery Details: Baby B,1
10200324,Five Minute Apgar,C0447.00,A,,,Measurement,0,,numeric,,0,10,,OB MOTHER MULTIPLE NEWBORNS,Delivery Details: Baby B,1
10200333,One Minute Apgar,C0447.00,A,,,Measurement,0,,numeric,,0,10,,OB MOTHER MULTIPLE NEWBORNS,Delivery Details: Baby C,1
10200334,Five Minute Apgar,C0447.00,A,,,Measurement,0,,numeric,,0,10,,OB MOTHER MULTIPLE NEWBORNS,Delivery Details: Baby C,1
10200343,One Minute Apgar,C0447.00,A,,,Measurement,0,,numeric,,0,10,,OB MOTHER MULTIPLE NEWBORNS,Delivery Details: Baby D,1
10200344,Five Minute Apgar,C0447.00,A,,,Measurement,0,,numeric,,0,10,,OB MOTHER MULTIPLE NEWBORNS,Delivery Details: Baby D,1
10200353,One Minute Apgar,C0447.00,A,,,Measurement,0,,numeric,,0,10,,OB MOTHER MULTIPLE NEWBORNS,Delivery Details: Baby E,1
10200354,Five Minute Apgar,C0447.00,A,,,Measurement,0,,numeric,,0,10,,OB MOTHER MULTIPLE NEWBORNS,Delivery Details: Baby E,1
10200363,One Minute Apgar,C0447.00,A,,,Measurement,0,,numeric,,0,10,,OB MOTHER MULTIPLE NEWBORNS,Delivery Details: Baby F,1
10200364,Five Minute Apgar,C0447.00,A,,,Measurement,0,,numeric,,0,10,,OB MOTHER MULTIPLE NEWBORNS,Delivery Details: Baby F,1
1020100131,Apnea Present During Test,C0097.00,A,apnea,,Observation,0,,custom_list,,,,Yes|Yes|Yes|No|No|Unsure|Unsure,IP CAR SEAT CHALLENGE|IP OB CAR SEAT SCREEN NAV,Infant Evaluation in Car Seat,2
1020100138,Patient Currently in Pain?,C0101.00,A,pain_general,,Observation,0,,custom_list,,,,Yes|No|Denies|Unable to assess|Other (Comment),MFM RECOVERY|OB RECOVERY,Pain Screening,2
1020100169,Pain Management Requests,C0101.00,A,pain_general,,Observation,0,,custom_list,,,,IV analgesia|IV analgesia|IV analgesia|Doula assisted|Doula assisted|Doula assisted|Non-medical techniques|Non-medical techniques|Non-medical techniques|Shower or tub for labor|Shower and/or hot tub|Shower or tub for labor|Epidural|Epidural|Water birth|Nitrous oxide|Nitrous oxide|Undecided|None|None|Undecided|Undecided,OB DELIVERY PREFERENCES NAV,Delivery Preferences,1
1020100223,Bishop Score,C0447.00,A,,,Measurement,0,,numeric,,,,,EHC IP OB ANTEPARTUM ASSESSMENT ROVER|EHC IP OB LABOR ASSESSMENT ROVER|IP OB ADULT CERVICAL EXAM NAV|IP OB ANTEPARTUM ASSESSMENT|IP OB CERVICAL EXAM - LABOR CURVE|IP OB LABOR ASSESSMENT|IP OB LABOR MONITORING NAV|IP OBSTETRICS CUTOVER NAV|OB EFM POPUP,Vaginal Exam,9
1020100247,Volume of Infusion (mL),C0447.00,A,,,Measurement,0,,numeric,mL,,,,ALL FOUNDATION LDAS|EHC IP OB LABOR ASSESSMENT ROVER|IP OB LABOR ASSESSMENT|MATERNAL EMERGENCY NARRATOR LDAS,Intrauterine Pressure Catheter,4
1020100249,Returned Volume (Estimated g/mL),C0447.00,A,,,Measurement,0,,numeric,g/mL,,,,ALL FOUNDATION LDAS|EHC IP OB LABOR ASSESSMENT ROVER|IP OB LABOR ASSESSMENT|MATERNAL EMERGENCY NARRATOR LDAS,Intrauterine Pressure Catheter,4
